,x_val,y_val,data_channel
128037,239,500,103.0
267336,402,395,157.0
312201,446,835,125.0
371403,501,554,188.0
73349,160,651,115.0
117583,225,684,131.0
21440,68,407,98.0
229520,361,443,116.0
413825,539,885,218.0
400967,528,233,199.0
293372,428,461,132.0
167302,288,873,98.0
21758,68,1043,87.0
176485,299,756,112.0
166802,288,198,103.0
51668,122,855,98.0
401660,528,927,208.0
282090,417,215,135.0
365212,495,993,218.0
188317,313,260,156.0
246322,380,375,156.0
92740,190,800,105.0
294103,429,143,142.0
221143,351,1083,116.0
412649,538,818,210.0
148209,265,9,123.0
26103,76,743,132.0
175582,298,709,168.0
296022,431,26,109.0
366733,497,300,179.0
120809,229,1050,113.0
99335,200,312,98.0
299327,434,262,150.0
117565,225,657,121.0
265750,400,801,100.0
369977,500,230,152.0
199169,325,821,129.0
128896,240,637,115.0
323900,457,1067,118.0
194769,320,766,139.0
357640,489,27,200.0
58072,134,241,101.0
131503,243,938,104.0
167914,289,576,113.0
389753,518,93,190.0
344606,477,156,163.0
205895,333,856,123.0
374147,503,1092,183.0
99782,200,1015,156.0
16277,60,94,100.0
192049,317,593,115.0
361785,492,880,134.0
176643,299,950,152.0
338712,471,820,132.0
369137,499,495,174.0
130091,242,85,94.0
132916,245,781,134.0
271696,406,969,160.0
95529,194,864,115.0
28114,80,279,103.0
393231,521,252,203.0
143385,258,1070,86.0
208239,336,773,132.0
384738,513,616,170.0
406999,533,716,176.0
337799,470,1001,152.0
328986,462,835,174.0
75368,164,0,86.0
1046,32,71,90.0
112393,218,632,119.0
150503,267,924,116.0
214142,343,915,127.0
238871,372,120,139.0
101732,203,721,96.0
82075,174,814,186.0
342949,475,693,191.0
20793,67,206,104.0
10835,51,706,127.0
344712,477,262,172.0
206112,334,55,129.0
187810,312,701,127.0
165519,286,734,105.0
76527,165,984,125.0
89881,186,631,112.0
200647,327,461,121.0
243,27,592,105.0
309834,444,523,125.0
220462,351,200,104.0
250784,385,77,95.0
169688,291,718,110.0
5271,42,1,90.0
275825,410,1107,131.0
75597,164,395,118.0
314240,448,780,104.0
114680,221,805,142.0
33229,89,489,87.0
247558,381,723,118.0
315861,450,301,167.0
194050,319,966,112.0
63052,143,1,96.0
69595,154,264,116.0
30869,85,166,104.0
295627,430,695,115.0
350471,482,562,127.0
71757,157,1022,86.0
101064,202,733,116.0
197675,324,34,113.0
78356,168,979,103.0
89630,186,202,125.0
402980,530,27,220.0
406375,533,92,201.0
304903,439,741,174.0
331565,465,161,142.0
78788,169,600,96.0
236089,368,1100,137.0
368124,498,590,188.0
342226,474,1057,186.0
82016,174,728,86.0
196877,323,127,167.0
404490,531,427,214.0
22807,70,863,90.0
81788,174,343,152.0
64337,145,229,90.0
190343,315,619,116.0
377721,507,238,200.0
245912,379,997,103.0
91850,189,465,104.0
212444,341,832,137.0
130708,242,971,139.0
371104,501,253,154.0
52364,124,40,112.0
311448,446,35,150.0
267123,402,150,129.0
264322,399,251,107.0
370396,500,650,196.0
113255,219,875,118.0
356618,488,105,166.0
368310,498,776,195.0
87904,183,710,90.0
276969,412,130,154.0
239442,372,862,94.0
182742,306,938,115.0
380102,509,404,181.0
254279,388,832,92.0
305328,440,88,137.0
390710,518,1051,192.0
269327,404,468,156.0
146309,262,726,89.0
341393,474,215,149.0
88694,184,897,95.0
346032,478,490,190.0
334309,467,781,144.0
249741,383,1079,141.0
395249,523,56,160.0
256626,391,170,168.0
377441,506,1068,195.0
284341,419,483,116.0
296788,431,867,178.0
318560,452,966,134.0
344247,476,901,160.0
118328,226,665,103.0
237973,371,124,95.0
36071,94,703,92.0
56416,131,410,87.0
270291,405,469,145.0
218137,348,611,128.0
382449,511,541,193.0
264333,399,266,92.0
175316,298,347,105.0
335476,468,860,86.0
353067,484,960,167.0
69254,153,726,125.0
394957,522,873,191.0
295608,430,674,115.0
395195,523,1,209.0
310159,444,880,135.0
218648,349,153,121.0
270786,405,1042,123.0
14535,57,553,103.0
159541,279,249,174.0
313764,448,279,95.0
377701,507,218,195.0
281336,416,496,103.0
191784,317,248,94.0
362715,493,707,163.0
182961,307,105,129.0
92529,190,459,107.0
54575,128,46,104.0
296397,431,434,149.0
376232,505,963,174.0
71118,156,966,89.0
119440,228,133,121.0
38122,98,435,101.0
15917,59,628,147.0
283075,418,187,190.0
342990,475,734,168.0
194944,320,996,127.0
397725,525,318,199.0
28735,81,459,147.0
410443,536,832,199.0
374307,504,142,199.0
275381,410,618,212.0
141954,257,231,105.0
185812,310,348,123.0
128595,240,186,96.0
70704,156,183,92.0
180022,303,843,115.0
220448,351,186,123.0
336125,469,408,183.0
377500,507,17,189.0
161847,282,123,103.0
378143,507,664,192.0
78046,168,416,105.0
23882,72,726,87.0
242824,376,611,157.0
120419,229,484,95.0
310304,444,1034,118.0
5716,42,921,89.0
105641,209,270,121.0
115520,222,963,92.0
38099,98,393,90.0
321560,455,821,100.0
205937,333,916,110.0
198302,324,851,123.0
27534,79,295,89.0
161267,281,409,105.0
220947,351,843,119.0
258134,392,829,110.0
172423,294,1036,132.0
211683,340,917,141.0
392245,520,369,206.0
116143,223,758,121.0
413427,539,486,217.0
53348,125,959,94.0
355044,486,732,163.0
288544,423,701,149.0
6035,43,451,116.0
330179,463,958,163.0
228120,359,947,95.0
306899,441,682,170.0
92389,190,246,156.0
325798,459,841,153.0
45743,112,350,86.0
72935,159,925,89.0
144261,260,87,92.0
26703,77,866,105.0
16241,60,55,134.0
353367,485,154,147.0
378666,508,77,206.0
389834,518,174,178.0
357058,488,552,176.0
143064,258,641,128.0
157410,276,622,135.0
61086,139,613,100.0
192836,318,482,163.0
318272,452,658,139.0
408764,535,263,149.0
265716,400,759,115.0
186574,311,202,191.0
115879,223,364,109.0
279715,414,935,152.0
217553,347,994,118.0
349852,481,1041,144.0
382614,511,706,196.0
374566,504,401,150.0
338601,471,708,183.0
170442,292,631,110.0
390861,519,92,199.0
353606,485,395,185.0
300697,435,645,122.0
412902,538,1071,211.0
35056,92,840,89.0
78896,169,766,96.0
262834,397,737,103.0
399294,526,779,171.0
288044,423,145,147.0
320105,454,392,127.0
321718,455,986,167.0
243030,376,862,128.0
198135,324,622,129.0
51984,123,357,167.0
195859,321,1071,95.0
14089,56,870,103.0
4720,40,951,90.0
234547,367,240,90.0
185199,309,693,162.0
346235,478,697,199.0
135492,249,64,94.0
357783,489,170,188.0
3605,38,629,87.0
374958,504,793,178.0
200060,326,842,118.0
152707,270,658,86.0
227768,359,491,90.0
179408,303,55,113.0
339886,472,900,162.0
179151,302,839,141.0
121415,230,848,170.0
125454,236,68,86.0
53965,126,1080,92.0
82063,174,799,122.0
339353,472,357,161.0
292661,427,785,119.0
372436,502,480,194.0
348665,480,933,149.0
334805,468,180,186.0
123506,233,587,128.0
349934,482,14,183.0
268189,403,284,101.0
230956,363,72,127.0
145883,262,164,162.0
138572,253,16,142.0
389644,517,1094,116.0
326971,460,966,156.0
24474,73,810,100.0
247756,381,952,122.0
23495,71,1056,86.0
365271,495,1052,204.0
123517,233,603,103.0
298027,432,1097,149.0
300492,435,417,121.0
201586,328,598,98.0
74534,162,661,87.0
173659,296,460,92.0
311920,446,537,90.0
404733,531,670,215.0
58181,134,437,94.0
382690,511,782,210.0
338337,471,438,121.0
18603,63,643,104.0
161178,281,298,107.0
209592,338,311,112.0
191429,316,910,153.0
138825,253,343,104.0
103732,206,571,112.0
66137,148,274,107.0
299547,434,506,147.0
182315,306,371,107.0
324609,458,706,203.0
43346,108,67,96.0
189022,314,31,109.0
397280,524,981,166.0
171860,294,282,190.0
205342,333,90,103.0
146279,262,689,115.0
33856,90,664,95.0
345238,477,794,152.0
122676,232,459,95.0
177795,301,208,103.0
155718,274,484,94.0
352908,484,800,125.0
84198,177,1094,95.0
177235,300,614,168.0
319215,453,558,116.0
263344,398,226,153.0
82237,174,1109,125.0
395718,523,525,186.0
52388,124,85,90.0
130327,242,417,162.0
310678,445,317,142.0
40570,102,1102,100.0
354780,486,466,176.0
184569,308,997,119.0
138591,253,40,122.0
254517,388,1101,101.0
166793,288,184,196.0
285353,420,487,110.0
157113,276,191,131.0
317805,452,146,125.0
215798,345,928,206.0
375540,505,266,110.0
407244,533,962,206.0
398162,525,756,207.0
176490,299,764,109.0
327563,461,477,119.0
16489,60,375,100.0
118820,227,289,187.0
121968,231,557,105.0
5278,42,16,105.0
97395,197,592,116.0
153812,272,7,181.0
368569,498,1035,203.0
320291,454,589,128.0
126377,237,341,109.0
275202,410,426,158.0
123093,232,1073,96.0
176749,299,1071,131.0
86864,182,63,89.0
19227,64,675,116.0
104776,208,33,112.0
104988,208,363,112.0
145026,261,83,115.0
231139,363,318,138.0
235917,368,880,115.0
177577,300,1029,87.0
93476,191,903,110.0
72420,159,21,105.0
160936,280,1076,90.0
398354,525,948,201.0
332001,465,612,115.0
400294,527,670,174.0
254271,388,820,122.0
68083,151,677,98.0
105832,209,564,134.0
211161,340,213,105.0
185319,309,844,121.0
53360,125,989,100.0
395775,523,582,213.0
293221,428,296,172.0
322050,456,223,116.0
97378,197,565,109.0
192206,317,783,144.0
222890,353,1031,147.0
4890,41,245,105.0
291048,426,133,150.0
400277,527,653,215.0
247354,381,487,103.0
307071,441,871,138.0
202716,329,1001,113.0
232997,365,453,213.0
285673,420,844,127.0
358888,490,176,132.0
280331,415,504,141.0
363014,493,1006,179.0
75872,164,912,109.0
134798,248,171,95.0
411748,537,1027,216.0
248011,382,131,112.0
143267,258,921,98.0
379,28,719,101.0
68128,151,758,125.0
286318,421,446,132.0
203441,330,894,121.0
404454,531,391,181.0
169850,291,940,107.0
301184,436,66,163.0
20118,66,95,107.0
87137,182,527,101.0
159174,278,836,101.0
239268,372,638,127.0
215835,345,982,119.0
355813,487,399,190.0
389684,518,24,137.0
353894,485,687,171.0
42482,106,556,95.0
135902,249,678,92.0
44409,109,1097,103.0
66354,148,706,119.0
49966,119,868,123.0
16903,60,1086,109.0
161237,281,376,201.0
258320,392,1049,154.0
404199,531,136,192.0
99997,201,228,92.0
155643,274,371,95.0
222202,353,164,125.0
124686,235,72,89.0
405022,531,959,197.0
382088,511,179,172.0
391336,519,568,187.0
359582,490,880,109.0
13719,56,234,105.0
252354,386,797,107.0
230108,362,94,134.0
